taxonomic_name,common_name,cultivation,sunlight,water,preferred_ph_lower,preferred_ph_upper,nutrients,soil,season,temperature_class,temperature_germination,temperature_growing,days_germination,days_harvest,nutritional_info,energy,sensitivities,description,requirements,days_harvest_min,days_harvest_max,days_harvest_avg,days_germ_min,days_germ_max,days_germ_avg,temp_germ_min,temp_germ_max,temp_germ_avg,temp_grow_min,temp_grow_max,temp_grow_avg
pisum sativum,pea,legume,full sun,very high,6,7.5,medium,loamy,annual,half hardy,24,4-24,6,55-75,"a good source of vitamin k, manganese, and dietary fibre.",80,drought intolerant,"the pea is the small spherical seed, or the seed-pod. peas come in two varieties: shelling, and mangetout.","require a sunny, nutrient-rich, moisture-retentive site.",55,75,65,6,6,6,24,24,24,4,24,14
phaseolus coccineus,beans (runner),legume,full sun,medium,6,6.8,medium,loamy and clay,annual,tender,26,16-30,7,65-85,"a good source of protein, thiamine, and riboflavin.",27,drought intolerant,"runner bean plants are more productive than green bean plants. the rough, flat, green pods need to be destrung and cut into smaller pieces before cooking.","beans are a tender, warm-weather crop. they are perfectly suited to a sunny, and well-drained spot away from strong winds. they enjoy moist, and fertile soil.",65,85,75,7,7,7,26,26,26,16,30,23
phaseolus vulgari,beans (french),legume,full sun,medium,6,7.5,medium,any well-drained and fertile,annual,tender,26,16-30,7,40-55,"a good source of protein, thiamine, and riboflavin.",27,drought intolerant,"french beans are the unripe fruit, and protective pods of various cultivars of the common bean.","beans are a tender, warm-weather crop. they are perfectly suited to a sunny, and well-drained spot away from strong winds. they enjoy moist, and fertile soil.",40,55,47.5,7,7,7,26,26,26,16,30,23
vicia faba,beans (broad),legume,full sun/partial shade/full shade,very low,6,7,medium,any well-drained and fertile,annual,hardy,10,8-15,7,85-115,"a good source of vitamin-b6 (pyridoxine), thiamine (vitamin b-1), and riboflavin.",88,drought intolerant,"broad beans - also known as the fava bean - are large, broad pods with flat, edible seeds. the shells are not eaten.","broad beans are a cool weather crop. they grow best in a sunny, and well drained spot away from strong winds. they enjoy moist, and fertile soil.",85,115,100,7,7,7,10,10,10,8,15,11.5
brassica oleracea,cabbage (spring),legume,full sun,high,6,7.5,high,sand/loam/clay,biennial,hardy,26,7-30,4,55-85,"a very good source of manganese, dietary fibre, potassium, vitamin b1, folate and copper.",25,particularly vulnerable to pests. do not grow if soil is too acidic.,"cabbages are a leafy green or purple biennial plant. they are grown as an annual vegetable crop for their dense-leaved heads. these can be eaten raw in salads, or cooked.","cabbage is a cool-season crop best planted in early spring or mid to late summer. they grow best in partial-shade, in firm, fertile, and free-draining soil.",55,85,70,4,4,4,26,26,26,7,30,18.5
brassica oleracea (italica group),broccoli,brassica,full sun/partial shade,medium,6,7.5,high,loamy and sandy,NA,half hardy,30,7-30,4,55-85,"a good source of vitamin c, folate, dietary fibre, and potassium.",34,a cool weather crop best not grown over hot summer months. broccoli are temperature sensitive with an ideal temperature range of 18 to 26 °c.,"broccoli is a member of the cabbage family. the broccoli is the green or purple flowering head. it is normally cooked, but can be eaten raw.","broccoli grow best in partial-shade, in firm, fertile, and free-draining soil. avoid shallow, sandy soils, and exposed sites.",55,85,70,4,4,4,30,30,30,7,30,18.5
brassica oleracea (gemmifera group),brussels sprouts,brassica,full sun,medium,6,7.5,high,loamy,biennial,hardy,26,7-30,4,180-,"a good source of dietary fibre, vitamin c, and folate.",35,affected by a wide range of pests and diseases. drought intolerant.,brussels sprouts are a member of the cabbage family. they are grown for their edible buds. the leafy green vegetables look like miniature cabbages.,"brussels sprouts are a cool-season crop. they grow best in partial-shade, in firm, fertile, and free-draining soil. avoid shallow, sandy soils, and exposed sites.",180,180,180,4,4,4,26,26,26,7,30,18.5
brassica oleracea (botrytis group),cauliflower,brassica,full sun,medium,5.5,7.5,high,any well-drained and fertile,NA,hardy,26,15-20,5,55-110,"a good source of vitamin c, vitamin k, and folate.",31,sensitive to temperatures over 25 °c.,"cauliflower is a variety of common cabbage in which flowers have begun to form, but have stopped growing at the bud stage. cauliflower is usually cooked, but can be eaten raw.","cauliflower grow best in partial-shade, in firm, fertile, and free-draining soil. they enjoy deep, humus rich soil, with a good supply of water and high humidity.",55,110,82.5,5,5,5,26,26,26,15,20,17.5
brassica oleracea (acephala group),kale,brassica,full sun,low,6,7.5,high,loamy,biennial,very hardy,26,15-20,4,65-75,"a good source of vitamin a, vitamin c, calcium, and potassium.",50,heat intolerant,"kale is a variety of the common cabbage, however it is considered closer to the wild cabbage. kale is one of the strongest and most disease resistant vegetables. it can have green or purple leaves.",kale tolerates cold weather better than most other brassicas and is relatively free of pests and diseases. it can be treated as a cut-and-come-again crop.,65,75,70,4,4,4,26,26,26,15,20,17.5
brassica rapa (rapa group),turnip,brassica,full sun/partial shade,medium,5.5,7.5,medium,loamy,biennial,very hardy,30,5-24,3,45-70,NA,NA,a cool weather crop best not grown over hot summer months.,turnip is a root vegetable with white flesh. that can be eaten cooked or raw.,"turnips grow best in cool, moisture retentive soils and should be kept well watered or the roots will be small and woody. they are biennials usually grown as annuals.",45,70,57.5,3,3,3,30,30,30,5,24,14.5
cucurbita pepo,zucchini or courgette,cucurbit,full sun,medium,6,7,high,any well-drained and fertile,annual,tender,21,21-35,7,50-60,NA,NA,NA,"used as a vegetable, it has a very mild flavour and is very watery. tends to be harvested when very young.",courgettes are easy to grow and will crop prolifically through summer and early autumn. they are ready for picking very soon after flowering. they will swell and form marrows if not harvested.,50,60,55,7,7,7,21,21,21,21,35,28
cucumis sativus,cucumber,cucurbit,full sun/partial shade,high,5.5,7,high,any well-drained and fertile,annual,tender,35,16-35,3,90-120,NA,NA,NA,a climbing plant that produces fruits that are used raw in salads or cooked. valued for its crisp texture and juiciness.,"there are indoor and outdoor varieties available so it’s worth checking what's the right type for you before you start sowing. you can grow cucumbers in the ground, in growbags and even in containers.",90,120,105,3,3,3,35,35,35,16,35,25.5
cucumis melo,melon,cucurbit,full sun,high,5.5,7.5,high,loamy,annual,tender,24-32,18-,4-10,75-100,NA,NA,NA,a sweet fruit eaten raw with a high water content so is refreshing. the seeds can also be eaten and are rich in oil.,"melons are tender plants. they need a warm, and sunny spot with high humidity and a rich, fertile, moisture retentive, deep and well-drained soil.",75,100,87.5,4,10,7,24,32,28,18,18,18
cucurbita moschata,pumpkin,cucurbit,full sun,medium,6,7,high,any well-drained and fertile,annual,hardy,35,21-35,4,90-120,NA,NA,NA,"both the flesh and the seed of the fruit can be eaten. the flesh is eaten cooked, and seeds can be eaten raw.","pumpkins are fun and easy to cultivate, but need a sunny position, plenty of water, and shelter from cold winds. once the first fruits start to swell, feed every 10-14 days with a high potash liquid fertiliser.",90,120,105,4,4,4,35,35,35,21,35,28
citrullus lanatus,water melon,cucurbit,full sun,high,6,7,high,sandy,annual,tender,35,26,4,80-100,NA,NA,NA,"the flesh of these large fruits are eaten raw. they have a very high water content, so are often used to make refreshing drinks.","native to africa, melons are very tender and need warmth (up to 25°f during the day) along with a long growing season. they are heavy feeders, and grow best on raised rows to ensure good drainage and heat retention.",80,100,90,4,4,4,35,35,35,26,26,26
lactuca sativa,lettuce (headed),salad,partial shade,high,6,7,medium,any well-drained and fertile,annual,tender,24,4-27,3,45-100,NA,NA,NA,"hearting lettuces have a dense centre of leaves which can be used in salads. choose the right variety and you can have lettuce almost all year, with difference colours and flavours to try.",lettuce requires full sun on moisture-retentive soil. it is a cool season crop and can tolerate light frosts. it will bolt in warm weather.,45,100,72.5,3,3,3,24,24,24,4,27,15.5
apium graveolens,celery,salad,full sun/partial shade,high,6,7,high,loamy,NA,tender,21,13-,7,90-140,NA,NA,NA,"the leaves and stems of this plant are eaten either raw or cooked. when raw they are a common salad ingredient, and cooked they are used in soups.","celery is a long-season crop that can be tricky to grow. it prefers a temperature range of 12-21°c, is a heavy feeder, and requires lots of water.",90,140,115,7,7,7,21,21,21,13,13,13
cichorium intybus,chicory,salad,full sun/partial shade,low,6,6.7,low,"chalky, sandy and clay",NA,hardy,21,10-25,6,75-80,NA,NA,NA,"the leaves are eaten raw or cooked and are often blanched by excluding light by earthing over, or covering the plant. the root is cooked similar to parsnip, or roasted and used as a coffee substitute.","chicory prefers an open, sunny site, with moderately fertile well-drained moisture retentive soil.",75,80,77.5,6,6,6,21,21,21,10,25,17.5
amaranthus cruentus,amaranth (grain),miscellaneous,full sun,medium,6,7,medium,well-drained and fertile,NA,tender,18-24,15-20,4,90-120,NA,NA,NA,"grown for its very small seed. these can be eaten cooked, or ground into a powder for baking. eaten raw they are sprouted and used in salads.","amaranth is a warm season crop that requires full sun. described as disease-free and drought-tolerant, they thrive in rich and well drained soil. once established, they produce abundant harvests under dry conditions.",90,120,105,4,4,4,18,24,21,15,20,17.5
cynara cardunculus,artichoke (globe),brassica,full sun/partial shade,medium,6,7,high potassium fertiliser every 2 weeks.,loamy,perennial,tender,NA,10-24,10-21,100-150,NA,NA,NA,the inner heart of the flower buds from this perennial are eaten raw or cooked.,"globe artichokes are large, architectural perennial plants, that are ornamental enough for the flower garden. they grow well in reasonably fertile, well drained soils.",100,150,125,10,21,15.5,NA,NA,NA,10,24,17
helianthus tuberosus,artichoke (jerusalem),miscellaneous,full sun,low,6.5,7.5,low,sand/loam/clay,NA,very hardy,18-32,18-32,10-17,110-150,NA,NA,NA,"this statuesque plant is a relative of the sunflower. it is grown for it's below-ground tubers that can be cooked or eaten raw, it also boasts attractive yellow flowers perched on 3m (10ft) stems.",jerusalem artichokes are grown from tubers and will grow in just about any soil. plant the least lumpy ones to breed out the knobbly artichokes which are more difficulty to peel.,110,150,130,10,17,13.5,18,32,25,18,32,25
asparagus officinalis,asparagus,miscellaneous,full sun/partial shade,medium,6.5,7.5,medium,sandy and loamy,NA,hardy,24,20,10,NA,NA,NA,NA,"asparagus is a herbaceous, perennial plant of which only the newly emerging shoots from young plants are eaten.","grows best in an open, sunny site, but will tolerate dappled shade. it is not fussy about the soil type as long as it is well drained.",NA,NA,NA,10,10,10,24,24,24,20,20,20
solanum melongena,aubergine,solanaceae,full sun,very high,5.5,7,high potassium fertiliser every 2 weeks.,loamy and potting mix,NA,tender,30,24-32,4,65-80,NA,NA,NA,"grown for it's egg-shaped, glossy, purple fruit which has white flesh. eaten cooked, it is normally baked, stewed or added to soups.",sunshine and warm growing conditions are the key to success. water regularly and feed with a high potassium liquid fertiliser every two weeks once the first fruit has set.,65,80,72.5,4,4,4,30,30,30,24,32,28
phaseolus vulgaris,beans (borlotti),legume,full sun/partial shade,medium,6,6.5,low,any well-drained and fertile,NA,tender,16,16-30,7,55-80,NA,NA,NA,pods are picked when mature and then dried.,they are not frost hardy and need sunshine and warm soil to flourish. beans will not germinate if the soil temperatures are below 10°c.,55,80,67.5,7,7,7,16,16,16,16,30,23
beta vulgaris,beetroot,umbelliferae,full sun/partial shade,medium,6,7.5,medium,loamy,NA,half hardy,30,10-30,4,55-80,"packed with antioxidants, carbohydrates, potassium and folic acid.",0,NA,"grown for both the root and the leaves. the root is normally boiled then pickled, but if harvested young they can be used raw. the leaves can be eaten raw or cooked, but excessive harvesting can reduce the yield of the tape root.","beetroot will grow in well-drained, loose, fertile soil, with plenty of well rotted organic matter added. beetroot is one of the few root crops that can be grown from transplants.",55,80,67.5,4,4,4,30,30,30,10,30,20
